'JAGRBY01 sp937864185|wastewater metagenome|GB GCA 937864185.1|CALMIS010000306.1 10'
'Alkalibaculum A sporogenes|terrestrial mud volcano|RS GCF 009362815.1|NZ WHNX01000037.1 13'
'JAEYKI01 sp023408315|feces|GB GCA 023408315.1|JAEYKI010000019.1 172'
'JAFGUF01 sp016938675|freshwater|GB GCA 016938675.1|JAFGUF010000032.1 2'
'Fusibacter paucivorans|African saline oil-producing well|RS GCF 018390735.1|NZ JAHBCL010000006.1 98'
'HGW-1 sp002841625|groundwater|GB GCA 002841625.1|PHAG01000007.1 75'
'Anaerotalea alkaliphila|mud volcano|RS GCF 010179735.1|NZ JAAEEH010000003.1 35'
'Petrocella sp002841495|groundwater|GB GCA 002841495.1|PGZV01000004.1 88'
'Vallitalea pronyensis|carbonate chimney|RS GCF 018141445.1|NZ CP058649.1 3188'
'Alkalibacter saccharofermentans|none|RS GCF 900128885.1|NZ FQTU01000001.1 9'
'Serpentinicella alkaliphila|carbonate chimney|RS GCF 018141405.1|NZ CP058648.1 420'
'Desulfuribacillus A stibiiarsenatis|Anoxic sediments from the drainage area of a geothermal spring|RS GCF 001742305.1|NZ MJAT01000037.1 128'
'Alkaliphilus A metalliredigens|none|RS GCF 000016985.1|NC 009633.1 3534'
'Clostridium W formicaceticum|Sewage plant|RS GCF 001854185.1|NZ CP017603.1 2425'
'M1-B18 sp018432235|wastewater sludge anaerobic digester phosphite  DPO  enrichment|GB GCA 018432235.1|JAHDLO010000020.1 28'
'Iocasia fonsfrigidae|sediment in cold seep|RS GCF 017751145.1|NZ CP046640.1 700'
'Hypnocyclicus sp020063625|produced fluids from hydraulically fractured shales|GB GCA 020063625.1|JAICDD010000029.1 3'
'Ilyobacter A polytropus A|marine hydrothermal sulfide sediment TVG12|GB GCA 003246855.1|QKCP01000121.1 33'
'JADQBV01 sp016278415|brine fluids|GB GCA 016278415.1|JADQBV010000231.1 31'
'Halanaerobium saccharolyticum B|none|RS GCF 003053565.1|NZ QAXS01000013.1 47'
'JACWAD01 sp021791195|acid mine drainage sediment|GB GCA 021791195.1|JAJYXB010000019.1 128'
'CAJVYJ01 sp913009475|marine metagenome|GB GCA 913009475.1|CAJVYJ010000038.1 11'
'JAJRUS01 sp024277675|active black smoker DFF12|GB GCA 024277675.1|JAJRUS010000056.1 6'
'Methanoperedens sp012026795|AOM-Mn bioreactor day 405|GB GCA 012026795.1|VEPM01000035.1 36'
'Methanoperedens nitroreducens B|groundwater filtered on filters|GB GCA 020724545.1|DYGR01000010.1 7'
'Methanogaster sp002503595|Oil polluted marine water|GB GCA 002503595.1|DASC01000118.1 8'
'QENH01 sp013180565|5 single cells amplified by MDA  marine sediment|GB GCA 013180565.1|QBUN01000420.1 27'
'UBA3088 sp002367275|Oil polluted marine water|GB GCA 002367275.1|DFBE01000048.1 3'
'UBA186 sp002494765|Oil polluted marine water|GB GCA 002494765.1|DACJ01000072.1 29'
'Methanolliviera hydrocarbonicum|oil polluted marine water|GB GCA 004212085.1|RXIL01000115.1 7'
'Methanoliparum sp8915u|hydrocarbon|GB GCA 013329575.1|DUJX01000116.1 6'
'Methanoperedens A sp014859785|bubbling pool in the central crater-like structure of an active mud volcano|GB GCA 014859785.1|JACUTP010000077.1 1'
'Methanoperedens sp026552955|Rifle background sediment  well D04 at 16ft depth|GB GCA 026552955.1|JAPMTS010000049.1 11'
'Pelotomaculum B propionicicum|sludge|RS GCF 004369225.1|NZ QFFZ01000025.1 39'
'Caldanaerobius polysaccharolyticus|none|RS GCF 000427425.1|NZ KE386494.1 453'
'UBA4767 sp002403385|Suncor tailing pond sample|GB GCA 002403385.1|DHHR01000071.1 13'
'Methanocrinis alkalitolerans|terrestrial mud volcano|GB GCA 029167205.1|JARFPL010000016.1 5'
'Methanocomedens sp009649835|methane seep|GB GCA 009649835.1|PYCK01000054.1 1'
'Methanosarcina siciliae|none|RS GCF 000970085.1|NZ CP009506.1 3465'
'Methanomethylovorans sp002508425|waste water|GB GCA 002508425.1|DAKU01000064.1 8'
'Methanolobus zinderi|a deep subsurface coal seam|RS GCF 013388255.1|NZ CP058215.1 399'
'Ethanoligenens harbinense|anaerobic activated sludge of molasses wastewater in a continuous stirred-tank reactor|RS GCF 000178115.2|NC 014828.1 1561'
'Ruminiclostridium D sp002306975|soil|GB GCA 002306975.1|DBTI01000098.1 20'
'JAITNB01 sp031290695|termite gut|GB GCA 031290695.1|JAITNB010000026.1 1'
'Raoultibacter sp031256895|termite gut|GB GCA 031256895.1|JAIRPR010000106.1 7'
'Gordonibacter sp003339845|stool|RS GCF 003339845.1|NZ PPTR01000007.1 162'
'JAISMZ01 sp031276475|termite gut|GB GCA 031276475.1|JAISMZ010000140.1 6'
'JAISUQ01 sp031272005|termite gut|GB GCA 031272005.1|JAISUQ010000173.1 10'
'Senegalimassilia sp002431805|gut metagenome|GB GCA 937902685.1|CALELU010000006.1 59'
'JANQLN01 sp028280575|Coral skeleton|GB GCA 028280575.1|JANQLN010000087.1 5'
'Oxobacter pfennigii|rumen|RS GCF 001317355.1|NZ LKET01000021.1 304'
'SKW257 sp026416815|alkaline hot spring water|GB GCA 026416815.1|JAOAEJ010000004.1 47'
'Syntrophomonas B zehnderi|none|RS GCF 000983115.1|NZ CGIH01000027.1 174'
'Pseudobacteroides sp023430975|feces|GB GCA 023430975.1|JAEYYB010000182.1 24'
'Anaerobacterium chartisolvens|none|RS GCF 003337415.1|NZ QPJT01000020.1 28'
'DTU059 sp002376415|unified soil  enrichment culture of cellulolytic microbial consortium named F1RT|GB GCA 022702935.2|JAKIML020000098.1 75'
'Acetobacterium fimetarium|none|RS GCF 014284475.1|NZ WJBC01000012.1 13'
'Acetobacterium sp030586155|mud|GB GCA 030586155.1|CP130741.1 558'
'Mobilitalea sp023399055|feces|GB GCA 023399055.1|JAEWQV010000015.1 253'
'UBA3282 sp021199255|feces|GB GCA 021199255.1|JAJQIK010000045.1 79'
'JAISNW01 sp031276055|termite gut|GB GCA 031276055.1|JAISNW010000217.1 6'
'Caproiciproducens sp900546895|human gut|GB GCA 900546895.1|UREO01000034.1 13'
'Caproicibacter fermentans|caproate enrichment culture|RS GCF 009746625.1|NZ VWXL01000053.1 24'
'Firm-13 sp017881645|permafrost soil|GB GCA 017881645.1|JADGQQ010000030.1 1'
'Sporobacter sp002307055|soil|GB GCA 002307055.1|DBTM01000036.1 119'
'JAAYAE01 sp012719555|anaerobic digestion of organic wastes under variable temperature conditions and feedstocks|GB GCA 012719555.1|JAAYAE010000064.1 9'
'Pectinatus brassicae|none|RS GCF 014201835.1|NZ JACHFH010000001.1 146'
'JAISWF01 sp031271165|termite gut|GB GCA 031271165.1|JAISWF010000076.1 10'
'Desulfovibrio sp031270875|termite gut|GB GCA 031270875.1|JAISXC010000123.1 7'
'JAISWZ01 sp031269465|termite gut|GB GCA 031269465.1|JAISZB010000292.1 11'
'Caproiciproducens sp023416955|feces|GB GCA 023416955.1|JAEZGM010000042.1 41'
'JAAVLZ01 sp028704415|NEUS F2 leachate from a leachate well at an active municipal landfill in the North Eastern United States|GB GCA 028704415.1|JAQWFM010000010.1 18'
'Megasphaera cerevisiae|spoiled beer|RS GCF 001045675.1|NZ LEKT01000060.1 16'
'Anaerotruncus sp023394255|feces|GB GCA 023394255.1|JAEXAZ010000120.1 9'
'Methanoplasma sp031290095|termite gut|GB GCA 031290095.1|JAITOF010000018.1 14'
'UBA1799 sp002319815|soil|GB GCA 002319815.1|DCFR01000082.1 7'
'Fibromonas sp009787645|P3 gut compartment|GB GCA 009787645.1|WQSZ01000060.1 2'
'Sporolactobacillus sp900543345|human gut|GB GCA 900543345.1|UQRJ01000161.1 1'
'Sporolactobacillus shoreicorticis|tree bark|RS GCF 024125445.1|NZ JAMXWM010000003.1 155'
'Parasporobacterium paucivorans|none|RS GCF 900141895.1|NZ FQYT01000018.1 43'
'Anaerosacchariphilus polymeriproducens|sediment|RS GCF 003363435.1|NZ QRCT01000034.1 294'
'Anaerosporobacter sp018372435|infant feces|GB GCA 018372435.1|JAHAJA010000003.1 104'
'Anaerocolumna sp030913705|hot spring water|RS GCF 030913705.1|NZ CP133190.1 946'
'Firm-13 sp023397475|feces|GB GCA 023397475.1|JAEWUD010000027.1 100'
'Muricomes sp013911065|bovine rumen in xylose fermenting enrichment culture|GB GCA 013911065.1|JACERV010000025.1 7'
'Lacrimispora sp009712635|iron-reducing culture derived from a small water body in an iron ore region|GB GCA 009712635.1|WASS01000015.1 295'
'SKGK01 sp007117465|hypersaline soda lake brine|GB GCA 007117465.1|SKGK01000158.1 14'
'Clostridium H homopropionicum|anoxic sewage sludge|RS GCF 001263795.1|NZ LHUR01000010.1 74'
'Clostridium B tyrobutyricum A|Emmental cheese|RS GCF 019144085.1|NZ JAHHUY010000010.1 68'
'Clostridium B tyrobutyricum|none|RS GCF 000359585.1|NZ APMH01000045.1 12'
'Clostridium T intestinale|none|RS GCF 900130055.1|NZ FQXU01000006.1 177'
'Clostridium I pasteurianum|soil|RS GCF 000807255.1|NZ CP009268.1 1372'
'Clostridium I acidisoli|none|RS GCF 900176305.1|NZ FWXH01000008.1 49'
'JAUZPN01 sp030705885|7d patty soil|GB GCA 030705885.1|JAUZPN010000017.1 4'
'Clostridium AR zeae|corn silage|RS GCF 017312485.1|NZ BMBA01000015.1 12'
'JACMJL01 sp014380625|glacier surface soil|GB GCA 014380625.1|JACMJL010000081.1 16'
'Clostridium AN bornimense|none|RS GCF 000577895.1|NZ HG917869.1 430'
'Clostridium vincentii|enrichment culture|RS GCF 002995745.1|NZ PVXQ01000001.1 146'
'Clostridium B kluyveri B|the pit mud of a Chinese flavor liquor-making factory|RS GCF 001902295.1|NZ CP018335.1 1298'
'Clostridium B luticellarii|mud cellar|RS GCF 002995845.1|NZ PVXP01000016.1 47'
'Clostridium AM scatologenes|none|RS GCF 000968375.1|NZ CP009933.1 241'
'Cellulosilyticum sp023393125|feces|GB GCA 023393125.1|JAEWMQ010000095.1 173'
'Clostridium chromiireducens|chromium-contaminated wetland soil|RS GCF 002029255.1|NZ MZGT01000029.1 3'
'Clostridium chromiireducens|chromium-contaminated wetland soil|RS GCF 002029255.1|NZ MZGT01000015.1 6'
'Roseburia C sp023390555|feces|GB GCA 023390555.1|JAEWCQ010000040.1 30'
'Clostridium sp900116755|none|RS GCF 900116755.1|NZ FPBY01000048.1 7'
'Butyrivibrio sp017634825|ruminant gastrointestinal tract|GB GCA 017634825.1|JAGBMP010000013.1 8'
'Eubacterium Q sp017634555|ruminant gastrointestinal tract|GB GCA 017634555.1|JAGBNF010000007.1 20'
'Agathobacter sp015057085|feces|GB GCA 015057085.1|SVFB01000036.1 67'
'NK4A136 sp017508825|ruminant gastrointestinal tract|GB GCA 017508825.1|JAFWRC010000194.1 11'
'Acetobacterium woodii A|groundwater|GB GCA 016213825.1|JACQZP010000019.1 145'
'WQXQ01 sp031283105|termite gut|GB GCA 031283105.1|JAITCL010000088.1 24'
'JAISER01 sp031263985|termite gut|GB GCA 031263985.1|JAISER010000050.1 6'
'Ruminiclostridium sp023426005|feces|GB GCA 023426005.1|JAFABO010000021.1 2'
'Massilibacillus massiliensis|none|RS GCF 900086705.1|NZ LT575483.1 3013'
'Mobilitalea sp023418475|feces|GB GCA 023418475.1|JAEZZO010000070.1 61'
'Anaerotignum sp002316675|mud|GB GCA 002316675.1|DCDZ01000030.1 42'
'JAIRWR01 sp031290815|termite gut|GB GCA 031290815.1|JAISLO010000130.1 12'
'JAIRPC01 sp031269205|termite gut|GB GCA 031269205.1|JAISZM010000126.1 9'
'JAISED01 sp031264295|termite gut|GB GCA 031264295.1|JAISED010000059.1 15'
'NK4A136 sp002373855|sheep gut metagenome|GB GCA 946616795.1|CAMOJU010000028.1 6'
'NK3A76 sp017470535|ruminant gastrointestinal tract|GB GCA 017470535.1|JAFUYP010000009.1 27'
'Hominilimicola sp947624485|rabbit gut|GB GCA 947624485.1|CANQKM010000003.1 62'
'UBA4345 sp002396385|sheep gut metagenome|GB GCA 946535435.1|CAMNDM010000061.1 6'
'UBA1213 sp902802985|cattle rumen|GB GCA 902802985.1|CADCOE010000048.1 20'
'Ruminococcus sp012718885|anaerobic digestion of organic wastes under variable temperature conditions and feedstocks|GB GCA 012718885.1|JAAYBK010000074.1 5'
'Succinivibrio sp900315395|none|GB GCA 900315395.1|OMZC01000123.1 8'
'JAISLQ01 sp031290885|termite gut|GB GCA 031290885.1|JAISLQ010000072.1 47'
'Adiutrix sp031263565|termite gut|GB GCA 031263565.1|JAISFR010000090.1 14'
'Pectinatus cerevisiiphilus|none|RS GCF 004341685.1|NZ SMAA01000015.1 20'
'Pectinatus frisingensis|Beer|RS GCF 015732285.1|NZ WIQU01000016.1 97'
'Acetobacterium sp028692885|NEUS D2 leachate from a leachate well at an active municipal landfill in the North Eastern United States|GB GCA 028692885.1|JAQUWM010000014.1 27'
'Muricomes contortus C|none|RS GCF 003149105.1|NZ QGDS01000004.1 53'
'JAITOS01 sp031289815|termite gut|GB GCA 031289815.1|JAITOS010000156.1 2'
'JAISSA01 sp031273365|termite gut|GB GCA 031273365.1|JAISSA010000072.1 14'
'JAISZF01 sp031282635|termite gut|GB GCA 031282635.1|JAITDJ010000042.1 22'
'JAIRNJ01 sp031278095|termite gut|GB GCA 031278095.1|JAITLC010000092.1 28'
'JAIRLU01 sp031288495|termite gut|GB GCA 031288495.1|JAITRH010000051.1 13'
'Anaerocolumna sp015655075|decomposing wood from intermixed hardwood and conifers|GB GCA 015655075.1|JAATFT010000084.1 116'
'Mobilitalea sp023435895|feces|GB GCA 023435895.1|JAEZLH010000010.1 102'
'Selenomonas A ruminantium E|none|GB GCA 900100835.1|FNCM01000001.1 106'
'Lacrimispora sp023437715|feces|GB GCA 023437715.1|JAEZFK010000024.1 30'
'CAJOIG01 sp021205095|feces|GB GCA 021205095.1|JAJPYE010000038.1 47'
'Pseudoflavonifractor sp900079765|isolated from soil from the Genoscope premises|GB GCA 900079765.1|LT599017.1 836'
'Butyrivibrio sp947168935|sheep gut metagenome|GB GCA 947168935.1|CAMVNV010000033.1 12'
'Eubacterium F sp947167565|sheep gut metagenome|GB GCA 947167565.1|CAMVIN010000005.1 35'
'Termitinema primitia A|none|RS GCF 000297095.1|NZ AEEA01000037.1 44'
'UBA3680 sp002372875|low methane producing sheep|GB GCA 002372875.1|DFJD01000057.1 8'
'AC2028 sp000702085|none|GB GCA 000702085.1|JNKP01000004.1 19'
'Butyrivibrio sp000420945|none|RS GCF 000420945.1|NZ ATVX01000002.1 131'
'Merdiplasma sp902802515|cattle rumen|GB GCA 902802515.1|CADCMM010000018.1 11'
'Treponema D sp947165895|sheep gut metagenome|GB GCA 947165895.1|CAMVCB010000002.1 40'
'Butyrivibrio sp015056585|feces|GB GCA 015056585.1|SVFZ01000074.1 18'
'Butyrivibrio sp017940685|ruminant gastrointestinal tract|RS GCF 017940685.1|NZ JAGAYD010000135.1 14'
'UBA1258 sp016281385|rumen|GB GCA 016281385.1|JAEEIN010000005.1 13'
'NK4A144 sp000701625|none|GB GCA 000701625.1|JNJK01000002.1 267'
'UBA1712 sp905235845|metagenome|GB GCA 905235845.1|CAJONG010000009.1 34'
'W3P20-009 sp937892095|gut metagenome|GB GCA 937892095.1|CALAVC010000147.1 2'
'UBA3305 sp021202235|feces|GB GCA 021202235.1|JAJQDL010000088.1 19'
'Eubacterium Q sp946544235|sheep gut metagenome|GB GCA 946544235.1|CAMNMC010000112.1 40'
'SY8519 sp015057865|feces|GB GCA 015057865.1|SVDH01000025.1 12'
'Alectryocaccobium sp017509985|ruminant gastrointestinal tract|GB GCA 017509985.1|JAFWOE010000023.1 105'
'Eubacterium Q sp902780985|cattle rumen|GB GCA 902780985.1|CACZHN010000002.1 8'
'Butyrivibrio sp024692165|rumen|GB GCA 024692165.1|JAILMY010000063.1 19'
'Butyrivibrio sp947169985|sheep gut metagenome|GB GCA 947169985.1|CAMVRW010000025.1 10'
'Lacrimispora sp002367105|wood|GB GCA 002367105.1|DFCS01000026.1 34'
'Eubacterium Q sp900316715|none|GB GCA 900316715.1|ONEC01000048.1 13'
'Butyrivibrio sp022486625|anaerobic bioreactor effluent|GB GCA 022486625.1|JAKVKH010000001.1 123'
'RUG420 sp900315285|none|GB GCA 900315285.1|OMYO01000017.1 30'
'JAEXSP01 sp023453795|feces|GB GCA 023453795.1|JAEXSP010000007.1 36'
'Mobilitalea sp023407175|feces|GB GCA 023407175.1|JAEYMU010000007.1 58'
'Butyrivibrio sp000703165|none|RS GCF 000703165.1|NZ JNLQ01000002.1 739'
'JALCUE01 sp022483015|anaerobic bioreactor effluent|GB GCA 022483015.1|JAKVOB010000001.1 648'
'UBA7741 sp900314495|none|GB GCA 900314495.1|OMVJ01000012.1 54'
'JAISHZ01 sp031275405|termite gut|GB GCA 031275405.1|JAISOV010000035.1 20'
'Anaerocolumna sp023410275|feces|GB GCA 023410275.1|JAEYPZ010000069.1 3'
'JAEWAH01 sp023416585|feces|GB GCA 023416585.1|JAEZHM010000142.1 10'
'Hungateiclostridium straminisolvens|none|RS GCF 000521465.1|NZ BAVR01000011.1 49'
'Capillibacterium sp012735135|anaerobic digestion of organic wastes under variable temperature conditions and feedstocks|GB GCA 012735135.1|JAAYHY010000160.1 66'
'JAITSQ01 sp031287685|termite gut|GB GCA 031287685.1|JAITSQ010000030.1 13'
'JAISCI01 sp031265685|termite gut|GB GCA 031265685.1|JAISCI010000096.1 9'
'JAAYBT01 sp023411645|feces|GB GCA 023411645.1|JAEYON010000068.1 64'
'Clostridium E sporosphaeroides|none|GB GCA 000383295.1|KB911066.1 386'
'Kineothrix sp023399455|feces|GB GCA 023399455.1|JAEWPN010000027.1 11'
'Acetanaerobacterium sp023429685|feces|GB GCA 023429685.1|JAEZDF010000059.1 15'
'UBA5499 sp002426275|food production metagenome|GB GCA 937888735.1|CALASN010000149.1 16'
'Pelethousia sp031261085|termite gut|GB GCA 031261085.1|JAISKB010000016.1 20'
'JAIRPC01 sp031277015|termite gut|GB GCA 031277015.1|JAISLZ010000070.1 29'
'WRMW01 sp031261395|termite gut|GB GCA 031261395.1|JAISJT010000104.1 16'
'SZUA-584 sp023461435|feces|GB GCA 023461435.1|JAEYLC010000034.1 34'
'Caproiciproducens sp023397245|feces|GB GCA 023397245.1|JAEWUH010000073.1 5'
'Acetanaerobacterium sp023433405|feces|GB GCA 023433405.1|JAEZCT010000039.1 16'
'AC2028 sp946531495|sheep gut metagenome|GB GCA 946531495.1|CAMNAQ010000012.1 10'
'Treponema D sp905236465|metagenome|GB GCA 905236465.1|CAJOQA010000364.1 5'
'Treponema D sp902792795|cattle rumen|GB GCA 902792795.1|CADBBB010000030.1 19'
'JAJQEJ01 sp021201735|feces|GB GCA 021201735.1|JAJQEJ010000043.1 10'
'Treponema D sp022510885|intestinal content|GB GCA 022510885.1|JAFLSP010000013.1 8'
'Fibrobacter sp001603905|3 replicate cellulose-degrading anaerobic digesters sampled at day 96 and day 362|GB GCA 001603905.1|LVAE01000048.1 50'
'Treponema D sp016283615|rumen|GB GCA 016283615.1|JAEENG010000039.1 16'
'Treponema D sp002394465|low methane producing sheep|GB GCA 002394465.1|DGTU01000141.1 1'
'Treponema D sp022510905|intestinal content|GB GCA 022510905.1|JAFLSN010000013.1 32'
'JAISED01 sp031264295|termite gut|GB GCA 031264295.1|JAISED010000057.1 27'
'JAISJM01 sp031261525|termite gut|GB GCA 031261525.1|JAISJM010000154.1 11'
'JAISJH01 sp031278415|termite gut|GB GCA 031278415.1|JAITKN010000043.1 9'
'JAISBX01 sp031278515|termite gut|GB GCA 031278515.1|JAITKI010000054.1 4'
'JAIRRO01 sp031261325|termite gut|GB GCA 031261325.1|JAISKH010000065.1 14'
'JAIRRO01 sp031261245|termite gut|GB GCA 031261245.1|JAISKU010000109.1 8'
'Caproicibacterium amylolyticum|fermented pit clay|RS GCF 014467055.1|NZ CP060696.1 1960'
'JAIRNN01 sp031257995|termite gut|GB GCA 031257995.1|JAIRNN010000224.1 4'
'JAIRPG01 sp031280065|termite gut|GB GCA 031280065.1|JAITHH010000037.1 2'
'RACS-047 sp031276725|termite gut|GB GCA 031276725.1|JAISMM010000064.1 5'
'Termitinema sp025997675|gut of Reticulitermes speratus|GB GCA 025997675.1|BNUX01000006.1 19'
'JAIROZ01 sp031281945|termite gut|GB GCA 031281945.1|JAITER010000053.1 6'
'JAIRKH01 sp031257675|termite gut|GB GCA 031257675.1|JAIROG010000036.1 23'
