,Genome,Contig,Nitrogenase Set,Position,Location,Group No,GTDB Taxonomy,ncbi_country,Isolation Source,NCBI Taxonomy,ncbi_taxonomy_unfiltered,Organism,Regulon,PredGrowthTemp
1933,GB_GCA_024635605.1,JAGXIR010000054.1,HDKENN,"12,5,6,7,8,9",10638-11462,Group 2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Sunxiuqinia;s__Sunxiuqinia sp024635605,Canada: Nunavut,saline spring sediment,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Marinilabiliales;f__Prolixibacteraceae;g__Sunxiuqinia;s__,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Marinilabiliales;f__Prolixibacteraceae;g__Sunxiuqinia;x__unclassified Sunxiuqinia;s__Sunxiuqinia sp.,Sunxiuqinia sp024635605,,
1934,GB_GCA_024635885.1,JAGXIA010000048.1,HDK,"2,3,5",376-1923,,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__Sulfurimonas sp024635885,Canada: Nunavut,saline spring sediment,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__;s__,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;x__unclassified Helicobacteraceae;s__Helicobacteraceae bacterium,Sulfurimonas sp024635885,,
1935,GB_GCA_024636215.1,JAGXHL010000049.1,HDK,"108,109,110",100653-101531,Group 1,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__BM103;g__M0040;s__M0040 sp024636215,Canada: Nunavut,saline spring sediment,d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__,d__Bacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;x__unclassified Deltaproteobacteria;s__Deltaproteobacteria bacterium,M0040 sp024636215,,
1936,GB_GCA_024636255.1,JAGXHK010000056.1,HDK,"1,2,3",2-1342,,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__Geoalkalibacteraceae;g__JAGXHK01;s__JAGXHK01 sp024636255,Canada: Nunavut,saline spring sediment,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Desulfuromonadales;f__;g__;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Desulfuromonadales;x__unclassified Desulfuromonadales;s__Desulfuromonadales bacterium,JAGXHK01 sp024636255,,
1937,GB_GCA_024636345.1,JAGXHG010000032.1,HDK,"81,82,85",85323-86696,,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__UBA2270;s__UBA2270 sp024636345,Canada: Nunavut,saline spring sediment,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;x__unclassified Desulfobulbaceae;s__Desulfobulbaceae bacterium,UBA2270 sp024636345,,
1938,GB_GCA_024636875.1,JAGXGJ010000082.1,HDK,"15,16,17",9814-11385,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__JAGXGJ01;s__JAGXGJ01 sp024636875,Canada: Nunavut,saline spring sediment,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__;s__,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;x__unclassified Methylococcaceae;s__Methylococcaceae bacterium,JAGXGJ01 sp024636875,,
1939,GB_GCA_024636935.1,JAGXGC010000022.1,HDK,"135,136,137",107320-108888,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Sideroxyarcus;s__Sideroxyarcus sp024636935,Canada: Nunavut,saline spring sediment,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__Gallionellaceae;g__Sideroxydans;s__,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__Gallionellaceae;g__Sideroxydans;x__unclassified Sideroxydans;s__Sideroxydans sp.,Sideroxyarcus sp024636935,,
1940,GB_GCA_024637115.1,JAGXFU010000005.1,HDKE,"218,219,220,221",231282-233930,,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Anaerosomatales;f__JAGXFU01;g__JAGXFU01;s__JAGXFU01 sp024637115,Canada: Nunavut,saline spring sediment,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__;s__,d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;x__unclassified Actinomycetes;s__Actinomycetes bacterium,JAGXFU01 sp024637115,,
1941,GB_GCA_024637145.1,JAGXFQ010000025.1,HDK,"11,12,8",9978-11618,,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__BM506;s__BM506 sp024637145,Canada: Nunavut,saline spring sediment,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;x__unclassified Desulfobulbaceae;s__Desulfobulbaceae bacterium,BM506 sp024637145,,
1942,GB_GCA_024637195.1,JAGXFN010000010.1,HDKN,"108,110,111,99",99294-100208,Group 1,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__GCA-2733885;s__GCA-2733885 sp024637195,Canada: Nunavut,saline spring sediment,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Arcobacter;s__,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Arcobacter;x__unclassified Arcobacter;s__Arcobacter sp.,GCA-2733885 sp024637195,,
1943,GB_GCA_024637225.1,JAGXFP010000053.1,HDK,"21,24,25",26641-27471,Group 2,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__JAGXFP01;s__JAGXFP01 sp024637225,Canada: Nunavut,saline spring sediment,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;x__unclassified Desulfobacterales;s__Desulfobacterales bacterium,JAGXFP01 sp024637225,,
1944,GB_GCA_024637295.1,JAGXFL010000005.1,HDK,"74,75,77",74499-76043,,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfuricurvum;s__Sulfuricurvum sp024637295,Canada: Nunavut,saline spring sediment,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfuricurvum;s__,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfuricurvum;x__unclassified Sulfuricurvum;s__Sulfuricurvum sp.,Sulfuricurvum sp024637295,,
1945,GB_GCA_024640925.1,JAHEEB010000338.1,HDK,"1,4,5",555-1379,Group 2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__UBA10428;s__UBA10428 sp024640925,New Zealand: Waiwera River; Auckland,sediment,d__Bacteria;p__Bacteroidota;c__;o__;f__;g__;s__,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;x__unclassified Bacteroidota;s__Bacteroidota bacterium,UBA10428 sp024640925,,
1946,GB_GCA_024641475.1,JAHECZ010000025.1,HDKEN,"10,11,5,6,9",6737-8188,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA6429;f__UBA6429;g__JACQBC01;s__JACQBC01 sp024641475,New Zealand: Waiwera River; Auckland,sediment,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;x__unclassified Gammaproteobacteria;s__Gammaproteobacteria bacterium,JACQBC01 sp024641475,,
1947,GB_GCA_024653205.1,JANLFO010000021.1,HDK,"1,2,5",155-1633,,d__Bacteria;p__Bacillota_B;c__Moorellia;o__Moorellales;f__SLTJ01;g__JANLFO01;s__JANLFO01 sp024653205,Russia: Sakhalin; Daginskiye Thermal Springs,enrichment culture from terrestrial mud volcano,d__Bacteria;p__Bacillota;c__Clostridia;o__;f__;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;x__unclassified Clostridia;s__Clostridia bacterium,JANLFO01 sp024653205,,
1948,GB_GCA_024653965.1,JANLGW010000149.1,HDDKEN,"14,22,23,24,30,31",12031-13542,,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales_A;f__Magnetovibrionaceae;g__JANLGW01;s__JANLGW01 sp024653965,Russia: Udmurt Republic,groundwater,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;x__unclassified Rhodospirillales;s__Rhodospirillales bacterium,JANLGW01 sp024653965,,
1949,GB_GCA_024655885.1,JANLFN010000013.1,HDKNN,"36,39,40,41,42",27617-28438,Group 2,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Acetivibrionales;f__JANLFN01;g__JANLFN01;s__JANLFN01 sp024655885,Russia: Sakhalin; Daginskiye Thermal Springs,enrichment culture from terrestrial mud volcano,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;x__unclassified Eubacteriales;s__Eubacteriales bacterium,JANLFN01 sp024655885,,
1950,GB_GCA_024682075.1,JAIKZQ010000021.1,HDK,"51,54,55",61479-62333,Group 2,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__AC2028;s__AC2028 sp024682075,Iran: Karaj,rumen,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium,AC2028 sp024682075,,
1951,GB_GCA_024684055.1,JAIKXN010000080.1,HDK,"19,21,22",17468-18316,Group 2,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3766;s__UBA3766 sp024684055,Iran: Karaj,rumen,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium,UBA3766 sp024684055,,
1952,GB_GCA_024689365.1,JAILDQ010000004.1,HDK,"10,3,9",7936-9396,,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp024689365,Iran: Karaj,rumen,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae;g__Treponema;s__,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae;g__Treponema;x__unclassified Treponema;s__Treponema sp.,Treponema_D sp024689365,,
1953,GB_GCA_024689465.1,JAILDL010000137.1,HDK,"5,8,9",3609-4463,Group 2,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__JAILDL01;s__JAILDL01 sp024689465,Iran: Karaj,rumen,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium,JAILDL01 sp024689465,,
1954,GB_GCA_024690635.1,JAILOW010000074.1,HDK,"24,25,26",30161-31666,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio sp024690635,Iran: Karaj,rumen,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Butyrivibrio;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Butyrivibrio;x__unclassified Butyrivibrio;s__Butyrivibrio sp.,Butyrivibrio sp024690635,,
1955,GB_GCA_024691105.1,JAILNY010000101.1,HDKKN,"11,12,14,4,9",9247-10566,,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp024691105,Iran: Karaj,rumen,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae;g__Treponema;s__,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae;g__Treponema;x__unclassified Treponema;s__Treponema sp.,Treponema_D sp024691105,,
1956,GB_GCA_024691145.1,JAILNW010000295.1,HDKEN,"4,5,7,8,9",1883-3172,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__JAILNW01;s__JAILNW01 sp024691145,Iran: Karaj,rumen,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium,JAILNW01 sp024691145,,
1957,GB_GCA_024692165.1,JAILMY010000063.1,HDK,"15,16,19",11723-13075,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio sp024692165,Iran: Karaj,rumen,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Butyrivibrio;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Butyrivibrio;x__unclassified Butyrivibrio;s__Butyrivibrio sp.,Butyrivibrio sp024692165,,
1958,GB_GCA_024692235.1,JAILMW010000024.1,HDK,"31,32,34",26954-28252,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Saccharofermentans;s__Saccharofermentans sp024692235,Iran: Karaj,rumen,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Saccharofermentans;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Saccharofermentans;x__unclassified Saccharofermentans;s__Saccharofermentans sp.,Saccharofermentans sp024692235,,
1959,GB_GCA_024693065.1,JAILLP010000020.1,HDK,"42,44,45",45207-46055,Group 2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__UBA1181;s__UBA1181 sp024693065,Iran: Karaj,rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__;s__,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;x__unclassified Paludibacteraceae;s__Paludibacteraceae bacterium,UBA1181 sp024693065,,
1960,GB_GCA_024694055.1,JAILKC010000071.1,HDK,"5,6,7",3958-4806,Group 2,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA1712;s__UBA1712 sp024694055,Iran: Karaj,rumen,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium,UBA1712 sp024694055,,
1961,GB_GCA_024695565.1,JAILHX010000148.1,HDK,"3,4,5",1770-3254,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Saccharofermentans;s__Saccharofermentans sp024695565,Iran: Karaj,rumen,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Saccharofermentans;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Saccharofermentans;x__unclassified Saccharofermentans;s__Saccharofermentans sp.,Saccharofermentans sp024695565,,
1962,GB_GCA_024697065.1,JAILGE010000006.1,HDK,"19,20,23",21898-23364,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__NK4A136;s__NK4A136 sp024697065,Iran: Karaj,rumen,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium,NK4A136 sp024697065,,
1963,GB_GCA_024697295.1,JAILFZ010000134.1,HDK,"2,5,6",472-1323,Group 2,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp024697295,Iran: Karaj,rumen,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae;g__Treponema;s__,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae;g__Treponema;x__unclassified Treponema;s__Treponema sp.,Treponema_D sp024697295,,
1964,GB_GCA_024697545.1,JAILFN010000038.1,HDK,"27,28,29",28533-29390,Group 2,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__YE71;s__YE71 sp024697545,Iran: Karaj,rumen,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;x__unclassified Ruminococcus;s__Ruminococcus sp.,YE71 sp024697545,,
1965,GB_GCA_024697595.1,JAILFK010000055.1,HDK,"3,4,6",2793-4091,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__JAILFK01;s__JAILFK01 sp024697595,Iran: Karaj,rumen,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium,JAILFK01 sp024697595,,
1966,GB_GCA_024697705.1,JAILFF010000074.1,HDK,"14,15,16",15867-16724,Group 2,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__YE71;s__YE71 sp024697705,Iran: Karaj,rumen,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;x__unclassified Ruminococcus;s__Ruminococcus sp.,YE71 sp024697705,,
1967,GB_GCA_024697845.1,JAILRZ010000055.1,HDK,"37,39,40",34598-35446,Group 2,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G sp024697845,Iran: Karaj,rumen,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;x__unclassified Eubacterium (in: firmicutes);s__Eubacterium sp.,Eubacterium_G sp024697845,,
1968,GB_GCA_024698145.1,JAILRO010000057.1,HDDKN,"42,52,53,55,56",46942-47790,Group 2,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-590;s__CAG-590 sp024698145,Iran: Karaj,rumen,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium,CAG-590 sp024698145,,
1969,GB_GCA_024698715.1,JAILRA010000099.1,HDK,"13,15,16",9995-10843,Group 2,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3766;s__UBA3766 sp024698715,Iran: Karaj,rumen,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium,UBA3766 sp024698715,,
1970,GB_GCA_024699245.1,JAILPW010000005.1,HDKEN,"137,138,140,141,143",141027-142316,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Saccharofermentans;s__Saccharofermentans sp024699245,Iran: Karaj,rumen,d__Bacteria;p__Bacillota;c__Clostridia;o__;f__;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;x__unclassified Clostridia;s__Clostridia bacterium,Saccharofermentans sp024699245,,
1971,GB_GCA_024699325.1,JAILPS010000019.1,HDK,"11,8,9",11975-12823,Group 2,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA4292;s__UBA4292 sp024699325,Iran: Karaj,rumen,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium,UBA4292 sp024699325,,
1972,GB_GCA_024707145.1,JANQAI010000003.1,HDKEN,"207,209,210,213,214",200306-201694,,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__Magnetospirillum;s__Magnetospirillum sp024707145,Russia,4th dilution order of 9-month-old decomposing birch leaves,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Magnetospirillum;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Magnetospirillum;x__unclassified Magnetospirillum;s__Magnetospirillum sp.,Magnetospirillum sp024707145,,
1973,GB_GCA_024707145.1,JANQAI010000011.1,HDKEN,"1003,1004,1005,1007,1008",1013768-1014655,Group 1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__Magnetospirillum;s__Magnetospirillum sp024707145,Russia,4th dilution order of 9-month-old decomposing birch leaves,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Magnetospirillum;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Magnetospirillum;x__unclassified Magnetospirillum;s__Magnetospirillum sp.,Magnetospirillum sp024707145,,
1974,GB_GCA_024709365.1,JANJWV010000070.1,HDKKE,"28,31,32,35,36",21003-21833,Group 2,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__Desulfomicrobium sp024709365,China: Beijing,river sediments grown in denitrifying medium in anaerobic bioreactor system,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;x__unclassified Desulfomicrobium;s__Desulfomicrobium sp.,Desulfomicrobium sp024709365,,
1975,GB_GCA_024709955.1,JANJVS010000078.1,HDK,"6,7,8",2339-3907,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuricystis;s__Sulfuricystis sp024709955,China: Beijing,river sediments grown in denitrifying medium in anaerobic bioreactor system,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__;s__,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;x__unclassified Rhodocyclaceae;s__Rhodocyclaceae bacterium,Sulfuricystis sp024709955,,
1976,GB_GCA_024710585.1,JANJUM010000257.1,HDK,"2,5,6",1986-2813,Group 2,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulforhopalus;s__Desulforhopalus sp024710585,China: Beijing,river sediments grown in denitrifying medium in anaerobic bioreactor system,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulforhopalus;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulforhopalus;x__unclassified Desulforhopalus;s__Desulforhopalus sp.,Desulforhopalus sp024710585,,
1977,GB_GCA_024762235.1,JANTHT010000014.1,HDK,"2,3,5",265-1812,,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__QNZT01;g__QNZT01;s__QNZT01 sp024762235,China: Taiwan;Kueishan Island,hydrothermal vent sediment,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum;s__,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum;x__unclassified Sulfurospirillum;s__Sulfurospirillum sp.,QNZT01 sp024762235,,
1978,GB_GCA_024762475.1,JANTHJ010000050.1,HDK,"20,21,22",11290-12171,Group 1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__MONJU;s__MONJU sp024762475,China: Taiwan;Kueishan Island,hydrothermal vent sediment,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__;g__;s__,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;x__unclassified Chromatiales;s__Chromatiales bacterium,MONJU sp024762475,,
